sector;country;cluster
01;AFG;0
01;AGO;2
01;ALB;0
01;ARE;0
01;ARG;2
01;ARM;0
01;AUS;2
01;AUT;2
01;AZE;0
01;BDI;1
01;BEL;2
01;BEN;1
01;BFA;1
01;BGD;2
01;BGR;2
01;BHR;0
01;BIH;2
01;BLR;2
01;BOL;1
01;BRA;2
01;BWA;0
01;CAF;1
01;CAN;2
01;CHE;2
01;CHL;0
01;CHN;0
01;CIV;1
01;CMR;1
01;COD;1
01;COG;1
01;COL;1
01;CRI;1
01;CUB;1
01;CYP;0
01;CZE;2
01;DEU;2
01;DJI;1
01;DNK;2
01;DOM;1
01;DZA;0
01;ECU;1
01;EGY;0
01;ERI;0
01;ESP;0
01;EST;2
01;ETH;1
01;FIN;2
01;FRA;2
01;GAB;1
01;GBR;2
01;GEO;0
01;GHA;1
01;GIN;1
01;GMB;1
01;GNB;1
01;GNQ;1
01;GRC;0
01;GTM;1
01;HKG;0
01;HND;1
01;HRV;2
01;HTI;1
01;HUN;2
01;IDN;1
01;IND;1
01;IRL;2
01;IRN;0
01;IRQ;0
01;ISR;0
01;ITA;0
01;JAM;1
01;JOR;0
01;JPN;0
01;KAZ;2
01;KEN;1
01;KGZ;0
01;KHM;1
01;KOR;0
01;KWT;0
01;LAO;1
01;LBN;0
01;LBR;1
01;LBY;2
01;LKA;1
01;LSO;0
01;LTU;2
01;LVA;2
01;MAR;0
01;MDA;2
01;MDG;1
01;MEX;0
01;MKD;0
01;MLI;2
01;MMR;2
01;MNG;2
01;MOZ;1
01;MRT;0
01;MUS;0
01;MWI;2
01;MYS;1
01;NAM;0
01;NER;2
01;NGA;1
01;NIC;1
01;NLD;0
01;NOR;2
01;NPL;1
01;NZL;0
01;OMN;0
01;PAK;2
01;PAN;1
01;PER;1
01;PHL;1
01;PNG;1
01;POL;2
01;PRK;0
01;PRT;0
01;PRY;2
01;PSE;0
01;QAT;0
01;ROU;2
01;RUS;2
01;RWA;1
01;SAU;2
01;SDN;2
01;SEN;1
01;SGP;1
01;SLE;1
01;SLV;2
01;SOM;0
01;SRB;2
01;SSD;0
01;SVK;2
01;SVN;2
01;SWE;2
01;SWZ;2
01;SYR;0
01;TCD;1
01;TGO;1
01;THA;2
01;TJK;0
01;TKM;0
01;TLS;1
01;TTO;1
01;TUN;0
01;TUR;0
01;TZA;1
01;UGA;1
01;UKR;2
01;URY;2
01;USA;2
01;UZB;0
01;VEN;1
01;VNM;1
01;YEM;1
01;ZAF;0
01;ZMB;2
01;ZWE;2
02;AFG;1
02;AGO;1
02;ALB;0
02;ARE;0
02;ARG;1
02;ARM;2
02;AUS;2
02;AUT;2
02;AZE;0
02;BDI;0
02;BEL;2
02;BEN;1
02;BFA;0
02;BGD;0
02;BGR;2
02;BHR;1
02;BIH;2
02;BLR;2
02;BOL;1
02;BRA;2
02;BWA;0
02;CAF;1
02;CAN;2
02;CHE;2
02;CHL;0
02;CHN;0
02;CIV;1
02;CMR;1
02;COD;1
02;COG;1
02;COL;1
02;CRI;1
02;CUB;0
02;CYP;0
02;CZE;2
02;DEU;2
02;DJI;1
02;DNK;2
02;DOM;1
02;DZA;0
02;ECU;1
02;EGY;0
02;ERI;1
02;ESP;0
02;EST;2
02;ETH;1
02;FIN;2
02;FRA;2
02;GAB;1
02;GBR;2
02;GEO;0
02;GHA;1
02;GIN;1
02;GMB;1
02;GNB;1
02;GNQ;1
02;GRC;2
02;GTM;0
02;HKG;0
02;HND;1
02;HRV;2
02;HTI;0
02;HUN;2
02;IDN;0
02;IND;0
02;IRL;2
02;IRN;0
02;IRQ;0
02;ISR;0
02;ITA;2
02;JAM;0
02;JOR;0
02;JPN;2
02;KAZ;2
02;KEN;0
02;KGZ;2
02;KHM;1
02;KOR;0
02;KWT;2
02;LAO;1
02;LBN;0
02;LBR;1
02;LBY;0
02;LKA;0
02;LSO;0
02;LTU;2
02;LVA;2
02;MAR;0
02;MDA;0
02;MDG;0
02;MEX;0
02;MKD;0
02;MLI;1
02;MMR;1
02;MNG;0
02;MOZ;1
02;MRT;2
02;MUS;1
02;MWI;2
02;MYS;1
02;NAM;1
02;NER;2
02;NGA;1
02;NIC;1
02;NLD;2
02;NOR;2
02;NPL;0
02;NZL;2
02;OMN;2
02;PAK;0
02;PAN;1
02;PER;0
02;PHL;0
02;PNG;1
02;POL;2
02;PRK;0
02;PRT;2
02;PRY;1
02;PSE;0
02;QAT;0
02;ROU;2
02;RUS;2
02;RWA;0
02;SAU;0
02;SDN;1
02;SEN;0
02;SGP;2
02;SLE;1
02;SLV;1
02;SOM;1
02;SRB;0
02;SSD;1
02;SVK;2
02;SVN;2
02;SWE;2
02;SWZ;1
02;SYR;0
02;TCD;2
02;TGO;1
02;THA;0
02;TJK;0
02;TKM;0
02;TLS;1
02;TTO;1
02;TUN;0
02;TUR;0
02;TZA;1
02;UGA;1
02;UKR;0
02;URY;2
02;USA;2
02;UZB;1
02;VEN;1
02;VNM;0
02;YEM;0
02;ZAF;2
02;ZMB;1
02;ZWE;2
05;AFG;3
05;AGO;3
05;ALB;2
05;ARE;0
05;ARG;1
05;ARM;5
05;AUS;0
05;AUT;0
05;AZE;3
05;BDI;2
05;BEL;5
05;BEN;5
05;BFA;4
05;BGD;0
05;BGR;0
05;BHR;1
05;BIH;4
05;BLR;4
05;BOL;1
05;BRA;3
05;BWA;2
05;CAN;2
05;CHE;4
05;CHL;4
05;CHN;0
05;CIV;1
05;CMR;6
05;COD;6
05;COG;6
05;COL;6
05;CRI;1
05;CUB;1
05;CYP;2
05;CZE;4
05;DEU;5
05;DJI;6
05;DNK;5
05;DOM;6
05;DZA;1
05;ECU;1
05;EGY;2
05;ESP;2
05;EST;5
05;ETH;3
05;FIN;5
05;FRA;2
05;GAB;4
05;GBR;2
05;GEO;5
05;GHA;1
05;GIN;3
05;GMB;1
05;GNB;3
05;GRC;2
05;GTM;1
05;HKG;4
05;HND;3
05;HRV;2
05;HTI;6
05;HUN;0
05;IDN;0
05;IND;0
05;IRL;2
05;IRN;2
05;ISR;6
05;ITA;2
05;JAM;5
05;JOR;3
05;JPN;0
05;KAZ;4
05;KEN;6
05;KGZ;5
05;KHM;2
05;KOR;0
05;KWT;5
05;LAO;6
05;LBN;4
05;LBR;3
05;LBY;1
05;LKA;3
05;LSO;4
05;LTU;5
05;LVA;5
05;MAR;1
05;MDA;4
05;MDG;0
05;MEX;1
05;MKD;5
05;MLI;3
05;MMR;2
05;MNG;4
05;MOZ;3
05;MRT;2
05;MUS;1
05;MWI;6
05;MYS;0
05;NAM;3
05;NER;3
05;NGA;6
05;NIC;1
05;NLD;2
05;NOR;5
05;NPL;6
05;NZL;2
05;OMN;1
05;PAK;2
05;PAN;1
05;PER;3
05;PHL;0
05;PNG;3
05;POL;5
05;PRK;4
05;PRT;2
05;PRY;6
05;PSE;3
05;QAT;6
05;ROU;0
05;RUS;4
05;RWA;2
05;SAU;2
05;SDN;3
05;SEN;2
05;SGP;0
05;SLE;1
05;SLV;1
05;SOM;2
05;SRB;4
05;SVK;4
05;SVN;2
05;SWE;5
05;SWZ;4
05;SYR;5
05;TCD;6
05;TGO;3
05;THA;0
05;TJK;6
05;TLS;4
05;TTO;1
05;TUN;2
05;TUR;2
05;TZA;0
05;UGA;1
05;UKR;6
05;URY;3
05;USA;5
05;UZB;5
05;VEN;1
05;VNM;0
05;YEM;1
05;ZAF;3
05;ZMB;6
05;ZWE;6
10;AFG;6
10;ALB;5
10;ARE;4
10;ARG;3
10;ARM;2
10;AUS;4
10;AUT;5
10;BEL;7
10;BEN;2
10;BGD;9
10;BGR;5
10;BHR;1
10;BIH;8
10;BLR;7
10;BRA;5
10;BWA;6
10;CAN;3
10;CHE;4
10;CHL;2
10;CHN;4
10;CIV;8
10;COL;6
10;CUB;1
10;CYP;1
10;CZE;3
10;DEU;3
10;DNK;8
10;DOM;8
10;ECU;2
10;EGY;4
10;ERI;2
10;ESP;7
10;EST;2
10;ETH;1
10;FIN;5
10;FRA;7
10;GBR;7
10;GEO;7
10;GHA;9
10;GIN;1
10;GRC;5
10;GTM;5
10;HKG;4
10;HND;5
10;HRV;3
10;HTI;2
10;HUN;3
10;IDN;6
10;IND;3
10;IRL;7
10;IRN;4
10;ISR;8
10;ITA;5
10;JOR;8
10;JPN;3
10;KAZ;4
10;KEN;7
10;KGZ;4
10;KHM;8
10;KOR;3
10;KWT;6
10;LAO;4
10;LBN;1
10;LKA;2
10;LSO;5
10;LTU;5
10;LVA;7
10;MAR;5
10;MDA;2
10;MDG;8
10;MEX;1
10;MKD;4
10;MLI;2
10;MMR;9
10;MNG;1
10;MOZ;6
10;MWI;9
10;MYS;7
10;NAM;6
10;NGA;3
10;NIC;2
10;NLD;7
10;NOR;7
10;NPL;0
10;NZL;4
10;OMN;9
10;PAK;4
10;PAN;2
10;PER;1
10;PHL;9
10;POL;4
10;PRT;3
10;QAT;1
10;ROU;3
10;RUS;4
10;SAU;4
10;SDN;0
10;SEN;5
10;SGP;4
10;SRB;3
10;SVK;3
10;SVN;5
10;SWE;5
10;SWZ;4
10;SYR;9
10;THA;4
10;TJK;4
10;TLS;2
10;TTO;2
10;TUN;2
10;TUR;7
10;TZA;6
10;UGA;0
