runs,parametros,kl_score,best
0,"{'perplexity': 30, 'n_iter': 1000, 'metric': 'correlation', 'learning_rate': 0.1637893706954063}",0.3468626797199249,"TSNE(learning_rate=0.11787686347935866, metric='cosine', n_iter=5000,
     perplexity=55, random_state=0)"
0,"{'perplexity': 55, 'n_iter': 5000, 'metric': 'cosine', 'learning_rate': 0.11787686347935866}",-0.0,"TSNE(learning_rate=0.11787686347935866, metric='cosine', n_iter=5000,
     perplexity=55, random_state=0)"
0,"{'perplexity': 35, 'n_iter': 1000, 'metric': 'correlation', 'learning_rate': 0.008483428982440717}",0.21083611845970154,"TSNE(learning_rate=0.11787686347935866, metric='cosine', n_iter=5000,
     perplexity=55, random_state=0)"
0,"{'perplexity': 45, 'n_iter': 5000, 'metric': 'correlation', 'learning_rate': 0.0008483428982440717}",2.5234600798285102e-06,"TSNE(learning_rate=0.11787686347935866, metric='cosine', n_iter=5000,
     perplexity=55, random_state=0)"
0,"{'perplexity': 35, 'n_iter': 2000, 'metric': 'correlation', 'learning_rate': 0.0007196856730011522}",0.21083611845970154,"TSNE(learning_rate=0.11787686347935866, metric='cosine', n_iter=5000,
     perplexity=55, random_state=0)"
0,"{'perplexity': 25, 'n_iter': 5000, 'metric': 'correlation', 'learning_rate': 0.01}",0.5085379004478454,"TSNE(learning_rate=0.11787686347935866, metric='cosine', n_iter=5000,
     perplexity=55, random_state=0)"
0,"{'perplexity': 35, 'n_iter': 2000, 'metric': 'cosine', 'learning_rate': 0.0016378937069540646}",0.20669689178466796,"TSNE(learning_rate=0.11787686347935866, metric='cosine', n_iter=5000,
     perplexity=55, random_state=0)"
0,"{'perplexity': 55, 'n_iter': 1000, 'metric': 'correlation', 'learning_rate': 0.00019306977288832496}",-0.0,"TSNE(learning_rate=0.11787686347935866, metric='cosine', n_iter=5000,
     perplexity=55, random_state=0)"
0,"{'perplexity': 60, 'n_iter': 1000, 'metric': 'correlation', 'learning_rate': 0.011787686347935866}",-0.0,"TSNE(learning_rate=0.11787686347935866, metric='cosine', n_iter=5000,
     perplexity=55, random_state=0)"
0,"{'perplexity': 60, 'n_iter': 5000, 'metric': 'cosine', 'learning_rate': 0.013894954943731374}",-0.0,"TSNE(learning_rate=0.11787686347935866, metric='cosine', n_iter=5000,
     perplexity=55, random_state=0)"
